SP-Code,Local-Name,Gen-Code,SP-Name,Royal-Class
PLON,PLONG,MELASTOMAC,MEMECYLON EDULE,Non Class 
PLOR,PLOR,DILLENIACE,DILLENIA OVATA,Non Class 
PLPH,PLOV SOMPOUCH,,,Non Class 
PMVG,PROMOY VIENG,,,Non Class 
PNAG,PHNEANG,,,Non Class 
PNGS,PHNGEAS,MEMECYLON,FLORIBUNDUM,Non Class 
PNKP,PHNEK PREAP,BREYNIA,RHAMNOIDES,Non Class 
PNOM,PON ORMBORK,ANACARDIAC,SPONDIAS SP,Non Class 
POBY,POPUOL BAY,,,Non Class 
POCH,POUCH,RHODOMYRTUS,TOMANTOSA,Non Class 
POCV,PON SVAR,SPONDIAS,SP.,Non Class 
POKH,POPEA KHE,TERMINALIA,BIALATA,Non Class 
PONR,PONG RO,SCHLEICHER,OLEOSA,Non Class 
POPL,PO PLEAR,GREWIA,PANICULATA,Non Class 
POUN,POUN,,,Non Class 
PPEL,POPEL,HOPEA,RECOPEI,FIRS
PPPR,POPLEA PRUES,STERCULIAC,PTERO SPERMUM DIVERS,Non Class 
PPTH,POPULTHMOR,VITEX, PUBESCENS,Non Class 
PPUL,PHNEL/POPOUL,VITEX,SP.,FIRS
PPVK,POPOULVAK,,,Non Class 
PRDL,PRAM DOMLENG,TERMINALIA,MUCRONATA,THIR
PREL,PREAL,COLOMBIA,AURICULATA,Non Class 
PRLO,PRO LOUP,VITEX,SP.,Non Class 
PRNG,PRING/KRORB BEK,EUGENIA,SP.,THIR
PROM,PROMAT KHLAKMOM,,,Non Class 
PROM,PROUM,CARISSIA,COCHINCHINENSIS,Non Class 
PRPN,PREAS PHNOV/SOMBOK KROHOM,TERMINALIA,NIGROVENULOSA,Non Class 
PRUS,PROUS,GARCINIA,FERREA,THIR
PYPK,PHKAI PROEK,AFZELIA,BIJUGA,FIRS
RAIT,RAING TOEK,BARINGTONI,ACUTANGULA,Non Class 
RANG,RAING,,,Non Class 
RINM,RAING PHNOM,PENTACME,SUAVIS,FIRS
ROCG,ROM CHORNG,,,Non Class 
RODL,ROMDOUL,POPOWIA, ABERRANS,Non Class 
ROKA,ROKA,BOMBAX,MATARICUM,Non Class 
ROML,ROMLEANG,TRISTANIA,MERGUENSIS,Non Class 
ROTY,ROMENGTHA NGE0Y,,,Non Class 
ROVN,ROVIENG,RANDIA,TOMANTOSA,Non Class 
RPCK,ROMPEAT CHROUK,MALVACEAE,URENA LOBATA,Non Class 
RUNG,ROUNG,STERCULIA,LYCHNOPHORA,Non Class 
SABL,SAMBOUR LOVENG,CINNAMOMUM,CASSIA,Non Class 
SADA,SANDA,POLYA,JACUNDA,Non Class 
SAHA,SANG HA,,,Non Class 
SAND,SANDAN,GARCINIA,LOUREIRI,Non Class 
SANK,SANG KE,COMBRETUM,QUADRANGULARE,Non Class 
SARG,SAM RONG,STERCULIA,FOETIDA,Non Class 
SAVP,SANGVA PICH,WRIGHTIAGIOSA,,Non Class 
SBMS,SAMBOUR MEAS,ACACIA,FAMESIANA,Non Class 
SBTS,SAMBOUR TES,LEUCAENA,GLAUCA,Non Class 
SDAV,SDAV,ALZADIRACHTA,INDICA,Non Class 
SDEY,SDEY,CRUDIA,CHRYSANTHA,FIRS
SEMN,SEMORN\ ROL,NEPHEALIUM, XEROSPERU,Non Class 
SKPL,SLAKRORPOUL,,,Non Class 
SKRM,SOKROM,YYLIA,DOLABRIFORMIS,FIRS
SLCH,SLA KCHEY,,,Non Class 
SLEN,SLENG,STRYCHNOS,NUX-VOMICA,Non Class 
SLET,SLOEK LO ET,,,Non Class 
SLNG,SOM LEANG,,,Non Class 
SMCH,SMACH,MELALEUCA,LEUCADENDR,THIR
SME,SME,CERIOPS,ROXBURGHIANA,FIRS
SMKB,SMA KRABEY,KNEMA,CORTICOSA,THIR
SMPN,SAM PONG,TETRAMELES,NUDIFLORA,THIR
SNAY,SNAY,MORACEAE,STEBLUS ASPER,Non Class 
SNOL,SNUOL,DALBERGIA,NIGRESCENS,Non Class 
SOPI,SOPHY,OCHROCARPUS,SIAMENSIS,Non Class 
SOUY,SOURY,ANOGEISSUS,ACUMENATA,Non Class 
SPOR,SOM POR,ARTOCARPUS,SEMPERVIR,FIRS
SPPY,SPEOU PREY,,,Non Class 
SPTK,SPEOU TEK,EUPHORBIAC,CLEISTANTHUS SP,Non Class 
SRAL,SRAL,PINUS,MERKUSII,SECO
SREG,CHHKER SRERNG,CNANGA ,LATIFOLIA,Non Class 
SRKM,SRAKOM,PAYENA,ELLIPTICA,SECO
SRKR,SROL KRAHAM,DACRYDIUM,ELATUM,SECO
SRLO,SRORLAO,LAGERSTROE,SP.,FIRS
SRMO,SRORMOR,TERMINALIA,CHEBULA,Non Class 
SROL,SROL SAR,PODUCARPUS,CUPRESSIN,SECO
SVAK,SVAY SVAK,ANACARDIAC,MANGIFERA SP,Non Class 
SVCT,SVAY CHANTI,ANACADIUM,OCCIDENTAL,Non Class 
SVPT,SVAY PONGTRONG,ANACARDIDC,MANGIFERA SP,Non Class 
SWPR,SVAY PREY,MANGIFERA,INDICA,THIR
SYCR,SVAY CHAM REANG,SWITONIA ,PIERRI,THIR
TAPL,TAPIL,,,Non Class 
TAUR,TAOUR,TERMINALIA,CHEBULA,THIR
TBEG,TBENG,DIPTEROCAR,OBTUSI,SECO
TBOT,TABORT,,,Non Class 
TENG,TENG,,,Non Class 
TEPI,TEP PHIROU,CINNAMOMUM,CAMBODIANUM,Non Class 
THME,THMEAS,ACACIA,INTSII,Non Class 
THNO,THNOT PRENG,ELAEIS,GUINEENSIS,Non Class 
THNR,THNONG KROHORM,PTEROCARPU,PEDATUS,LUXU
THNS,THNONG SOR,PTEROCARPU,CAMBODATUS,LUXU
THTR,THMENH TREY,EUPHORBIAC,BRIDELIA CAMBODIANA,Non Class 
TKOV,TKOV,,,Non Class 
TLOK,THLOK,PARINARIUM,ANNAMENSI,THIR
